MTS,OPEN,CLOSE,HIGH,LOW,VOLUME
2018-12-15 00:00:00,3293.7,3293.7,3293.8,3293.7,0.81111596
2018-12-15 00:01:00,3293,3293,3293.1,3292.9,4.48744234
2018-12-15 00:02:00,3293.1,3293.3,3293.7,3293.1,5.82229713
2018-12-15 00:03:00,3293.2,3293,3293.2,3292.9,1.40553713
2018-12-15 00:04:00,3292.1,3292.5,3292.5,3292.1,2.7743896
2018-12-15 00:05:00,3292.8,3293.4,3293.4,3292.1,1.60447488
2018-12-15 00:06:00,3292.7805008,3292.9,3292.9,3292.7805008,0.12330896
2018-12-15 00:07:00,3292.9,3294.9,3295,3292.9,6.836
2018-12-15 00:08:00,3294.9,3294.9843858,3294.9843858,3294.9,0.07
2018-12-15 00:09:00,3294.9,3294.9,3294.9,3294.9,0.231
2018-12-15 00:10:00,3294.9,3294.9,3294.9,3294.9,0.2018196
2018-12-15 00:11:00,3294.33452591,3294.4,3294.4,3294.33452591,0.56943
2018-12-15 00:12:00,3294.4554534,3296.8,3296.8,3294.4554534,4.24911941
2018-12-15 00:13:00,3296.3,3296.8,3296.8,3296.3,0.54689878
2018-12-15 00:14:00,3296.7095139,3296.8,3296.8,3296.7,0.64443324
2018-12-15 00:15:00,3296.8,3297.1,3297.6,3296.8,6.77923663
2018-12-15 00:16:00,3297.0487979,3297.8,3299.9,3297.0487979,20.43566042
2018-12-15 00:17:00,3297.8,3297.1,3298.5,3297.1,2.6555
2018-12-15 00:18:00,3297,3297.2,3297.2,3296.7,0.267
2018-12-15 00:19:00,3297.3880819,3297.3880819,3297.3880819,3297.3880819,0.0166
2018-12-15 00:20:00,3297.4,3297.4,3297.4,3297.4,0.005
2018-12-15 00:21:00,3297.4,3297.9,3297.9,3297.4,1.4647028
2018-12-15 00:22:00,3298,3299.3,3301.2,3298,2.67725521
2018-12-15 00:23:00,3299.1,3299.1,3299.1,3299.1,0.75
2018-12-15 00:24:00,3299,3299,3299.0395342,3299,1.18184122
2018-12-15 00:25:00,3299,3299,3299,3299,1.59664741
2018-12-15 00:26:00,3299,3299,3299,3299,0.1125
2018-12-15 00:27:00,3299.1,3299.4803112,3299.98925921,3299.1,3.12214268
2018-12-15 00:28:00,3299.5684666,3296.7,3299.5684666,3296.7,23.81872982
2018-12-15 00:29:00,3295.1,3295.2,3295.2,3295.1,0.15379081
2018-12-15 00:30:00,3295.4,3293.3,3295.4,3292.8,10.6
2018-12-15 00:32:00,3294.3,3295,3295,3294.3,0.30705601
2018-12-15 00:33:00,3298,3298.7,3300,3298,2.56618568
2018-12-15 00:34:00,3298.74521789,3298.7,3298.8,3298.7,0.41206523
2018-12-15 00:35:00,3298.8,3299.2,3302,3298.7,10.12
2018-12-15 00:36:00,3298.8,3298.9,3298.9,3298.8,0.0165774
2018-12-15 00:37:00,3298.9,3299.7,3299.7,3298.9,1.978
2018-12-15 00:38:00,3299,3298.9,3299,3298.9,0.04040006
2018-12-15 00:39:00,3299,3300.4,3300.6,3299,2.76861966
2018-12-15 00:40:00,3300.4,3301.1,3303.7,3299.3,5.20796734
2018-12-15 00:41:00,3300.4,3300.4,3300.4,3300.4,0.04
2018-12-15 00:42:00,3300.4,3300.7,3300.8,3299.4,2.20452953
2018-12-15 00:43:00,3299.7,3300,3300.8,3299.7,2.37845733
2018-12-15 00:44:00,3300.1,3300.097399,3300.1,3300.097399,0.54354
2018-12-15 00:45:00,3300,3300,3300,3300,0.16
2018-12-15 00:46:00,3300.1,3300,3300.1,3300,0.55
2018-12-15 00:47:00,3300.1,3300,3302.5,3300,2.6635837
2018-12-15 00:48:00,3301.91186854,3301.9,3301.91186854,3301.9,0.32526511
2018-12-15 00:49:00,3301.9486624,3302,3302.0249632,3301.9,89.04407019
2018-12-15 00:50:00,3301.9,3301.9,3301.9,3301.9,3.35375649
2018-12-15 00:51:00,3301.9,3301.9,3301.9486624,3301.9,1.46015973
2018-12-15 00:52:00,3301.9486624,3301.9,3302,3301.9,5.4351649
2018-12-15 00:53:00,3301.8,3293.42976859,3301.8,3293.2,10.420587
2018-12-15 00:54:00,3297.2,3296.4,3297.2,3293.6,0.97906802
2018-12-15 00:55:00,3296.4,3296.4,3296.5,3296.4,0.8132
2018-12-15 00:56:00,3296.4,3296.2,3296.4,3296.2,2.51455
2018-12-15 00:57:00,3296.3,3296.2,3296.3702299,3296.2,1.5206
2018-12-15 00:58:00,3296.3,3296.3,3296.3,3296.3,0.36991846
2018-12-15 00:59:00,3296.2,3296.2,3296.2,3296.2,0.2216001
2018-12-15 01:00:00,3296.2,3296.2,3296.2,3296.2,0.13740846
2018-12-15 01:01:00,3296.3,3296.2,3296.3,3296.2,0.32179969
2018-12-15 01:02:00,3296.3,3296.3,3296.3,3296.2,26.87057299
2018-12-15 01:03:00,3296.2,3296.2,3296.2,3296.2,0.03362284
2018-12-15 01:04:00,3296.3,3296.3,3296.3,3296.2,1.68263827
2018-12-15 01:05:00,3296.2,3296.2,3296.3,3296.2,4.14130709
2018-12-15 01:06:00,3296.3,3296.3,3296.3,3296.2,0.253014
2018-12-15 01:07:00,3296.25713524,3296.2,3296.3,3296.2,3.11089584
2018-12-15 01:08:00,3296.2,3296.2,3296.2,3296.2,0.83495944
2018-12-15 01:09:00,3296.3,3296.3,3296.3,3296.2,0.22999998
2018-12-15 01:10:00,3296.3,3296.3,3296.3,3296.3,1.023501
2018-12-15 01:11:00,3296.2,3296.2,3296.3,3296.2,2.7910767
2018-12-15 01:12:00,3296.3,3296.2,3296.3,3296.2,2.27454123
2018-12-15 01:13:00,3296.3,3296.2,3296.3,3296.2,1.38750687
2018-12-15 01:14:00,3296.2,3296.2,3296.3,3296.2,0.24055117
2018-12-15 01:16:00,3296.2,3290.7,3296.2,3290,36.65929791
2018-12-15 01:17:00,3290.7,3290,3290.7,3290,38.46375783
2018-12-15 01:18:00,3290,3289.9,3290.03692861,3285.8,19.21920599
2018-12-15 01:19:00,3289.9,3283,3289.9,3282.6,26.6825952
2018-12-15 01:20:00,3282.6,3276.5,3282.6,3276.5,43.23977433
2018-12-15 01:21:00,3276.5,3267.5,3276.5,3264.3,104.10663003
2018-12-15 01:22:00,3267.5,3264.4,3270.1,3263.5,29.38073852
2018-12-15 01:23:00,3264.4,3260,3264.4,3260,23.25861684
2018-12-15 01:24:00,3260,3256,3260,3255,80.49983295
2018-12-15 01:25:00,3256.2,3260.5,3261.7,3256.1,47.98709024
2018-12-15 01:26:00,3259,3256.7,3259.1,3256,13.01204349
2018-12-15 01:27:00,3256.6,3255.9,3256.6,3255,14.26089168
2018-12-15 01:28:00,3255.8,3255,3255.9,3255,3.10271384
2018-12-15 01:29:00,3255.1,3255.09067681,3255.1,3254.4,22.4704423
2018-12-15 01:30:00,3255.09067681,3256.3,3256.5,3255,45.51754407
2018-12-15 01:31:00,3256.4,3258.3,3258.4,3256.3,9.65916186
2018-12-15 01:32:00,3258.3,3258.3,3258.3,3258.2,5.49413342
2018-12-15 01:33:00,3258.3,3258.4,3258.4,3258.3,42.30860473
2018-12-15 01:34:00,3258.3998948,3253.5,3258.3998948,3253.5,16.48983145
2018-12-15 01:35:00,3253,3252.4,3253,3252,15.97994297
2018-12-15 01:36:00,3252.3,3252.4,3252.4,3252.3,1.40911099
2018-12-15 01:37:00,3252.4,3254.3,3254.3,3252.4,19.39775575
2018-12-15 01:38:00,3254.3,3254.3,3254.3,3254.3,1.57068254
2018-12-15 01:39:00,3254.2,3254.2,3254.3,3254.2,2.38997695
2018-12-15 01:40:00,3254.3,3255,3255,3254.2,4.59093891
2018-12-15 01:41:00,3254.9,3255,3255,3254.9,3.51531485
2018-12-15 01:42:00,3255,3255,3255,3255,2.43893572
2018-12-15 01:43:00,3255,3255,3255,3254.9,1.91377143
2018-12-15 01:44:00,3255,3255,3255,3254.9,6.1130581
2018-12-15 01:45:00,3254.9,3257.7,3257.8,3254.9,10.95189855
2018-12-15 01:46:00,3257.8,3257.8,3257.8,3257.7,0.63045305
2018-12-15 01:47:00,3257.7,3257.8,3257.8,3257.7,8.03868075
2018-12-15 01:48:00,3257.8,3257.9,3257.9,3257.7,1.32864422
